cleaned_reviewText,sentiment
issues,positive
purchased device worked advertised never much phone memory since download lot stuff brainer,positive
works expected sprung higher capacity think made bit cheesier earlier versions paint looks clean,positive
think worked diff bran card went south one held pretty well since update months zero issue since transferred card reliable solid cheers,positive
bought retail packaging arrived legit orange envelope english version asian like picture shows arrived quickly bought retail packaging htc one sv lg optimus cards working order probably best price get nice sd card,positive
mini storage anything else supposed purchased add additional storage microsoft surface pro tablet come gb supposed sandisk long standing reputation speaks,positive
phone never skips beat file transfers speedy corruption issues memory fade issues would expect sandisk brand great card entrust precious files slightly cheaper piece crap lose everything forgive spending extra couple bucks trusted product goes good qa,positive
hard believe affordable digital become gb device one quarter sie postage stamp would science fiction less generation picked portable music want schlep risk phone ipod works great sd card confidence,positive
works htc rezound running short space sandisk ordered came fast issues,positive
galaxy super fast card totally happy happy still type fill required words though,positive
like sd card take music video downloads personal videos files docs multimedia images fast transfer rate class speed take games large files easily still enough space apps great video cameras camcorders supplied adapter fits easily smartphones tablets sd card slots recommend sd card everyone,positive
works file writes bit slower expected reads writes faster card inside sd adapter vs write vs read card reader ca figure,neutral
name speaks go sandisk go,positive
solid sdhc card fast reading writing fast recording video pics great capacity reasonably priced issues highly recommend,positive
heard card write speed insufficient however used extensively single problem,positive
bought use go pro hero black edition requires class microsdxc card far issues fast came adapter small packaging needed comes nice hard plastic case keep dry together needed,positive
got gb one filled kept getting insufficient disk space phone kids take phone selfies mostly daughter get bigger card one carry old say sweet plenty space dont delete pictures anymore well daughter loves selfies,positive
class speed rating seamless full hd videothe sandisk ultra card features class uhs speed class rating highest video performance available recording uninterrupted full hd app performancethis card retrieve stored data almost instantly thanks read capability fast bus interface sandisk ultra microsdhc microsdxc cards offer faster app loading smoother fluid app capacities card plenty room accommodate full hd videos apps mobile files available sizes store apps music video app easy file managementthe included sandisk memory zone app lets easily view access backup digital files phone memory additional memory card cloud service one convenient place using app easily move files card number cloud storage designsandisk ultra memory cards capture memories degrees fahrenheit shockproof waterproof design mobile device may survive sandisk memory card,positive
read write speeds better samsung sd card previously would hesitate buy another one great micro sd cards sandisk also clip plus player works well think becoming fan sandisk products,positive
works video stuttering like blah blah blah blah fill rest,positive
works expected high transfer speed nice extra microsd adapters lying around since always seem misplace mainly bought use nikon dslr since put card directly cm modded nook tablet field view images larger screen,positive
works great samsung galaxy formatted straight away full size ca really tell speed difference one slower card replaced guess io phone ca take advantage,positive
sandisk never disappoints always sandisk products worth every penny nice product quality works great recommend product everyone,positive
good price works flawless samsung normal sandisk quality go brand brand,positive
san disk hard beat pay brand get quality product would purchase,positive
installed blackberry formatted works fine plenty storage space pictures videos son park,positive
received card class correct serial received unopened sandisk packaging going use htc rezound hope works read work reformatting disk update review issues using rating remain unchanged,positive
stuck formatted settings works great already filled music pics videos get card format right problems phone wo right got samsung haha,positive
